trial,status,loss,time,log,error,activation,layer1_layers,layer1_size,layer2_layers,layer2_size,layer3_layers,layer3_size,layer4_layers,layer4_size,learning_rate,weight_decay
0,ok,0.6827,830.40106,,,rrelu,3,32,1,128,2,320,2,512,0.248153544743613,0.000232657335972
1,ok,0.5118,742.565512,,,rrelu,1,48,2,128,3,256,3,256,2.63209501078382,0.000511117521155
2,ok,0.3935,718.911458,,,rrelu,2,48,2,64,2,320,1,384,0.540121220945097,0.001027187163522
3,ok,0.582,686.166556,,,elu,2,32,3,96,1,256,3,256,1.12847806859678,3.30381981971573E-05
4,ok,0.4361,644.05288,,,elu,2,64,2,128,2,128,1,384,2.61527474503646,2.64468873168989E-05
5,ok,0.482,819.724485,,,rrelu,1,80,3,160,2,128,2,640,1.64222191426953,0.00195557880977
6,ok,0.4406,865.397016,,,elu,2,80,1,96,1,320,2,640,1.78042385946533,5.81169108853304E-05
7,ok,0.4231,737.23514,,,selu,3,96,3,64,3,192,2,384,0.573562328068795,2.38373000398877E-05
8,ok,0.4441,793.829265,,,selu,2,48,3,96,2,128,2,640,1.22680219996372,0.000257983554383
9,ok,0.9,811.587641,,,rrelu,2,64,3,96,2,192,2,640,2.88583450574254,0.001985488243008
10,ok,0.5935,980.333231,,,rrelu,2,32,2,160,3,320,2,640,2.55749098700241,0.000147261981579
11,ok,0.4654,728.23948,,,rrelu,3,32,3,128,3,256,1,384,2.21074773950654,4.75332123902964E-05
12,ok,0.9,823.932769,,,rrelu,2,48,3,128,1,320,2,640,2.78935362020897,0.001359376170373
13,ok,0.9,651.627484,,,selu,2,48,3,64,1,128,3,256,1.78588668211933,0.000175980950404
14,ok,0.5135,667.989877,,,rrelu,3,32,2,64,3,192,2,256,0.833074211622228,0.000903832042637
15,ok,0.4962,658.062301,,,rrelu,2,32,3,96,1,128,3,256,1.01688302102346,0.001772775525322
16,ok,0.5862,734.347685,,,rrelu,3,64,1,192,2,192,2,384,1.75596268225985,0.000428609589128
17,ok,0.8218,944.382411,,,relu,1,32,1,96,3,256,3,640,0.925721914851549,0.00172871196477
18,ok,0.4879,863.219259,,,rrelu,2,80,2,128,2,256,2,640,2.479659330273,6.44352769671772E-05
19,ok,0.42,752.88326,,,relu,3,96,2,128,2,256,3,256,0.912286217072282,5.36396227337717E-05
