"time","loss","layer_0.max_depth","layer_0.min_data_in_leaf","layer_0.boosting_rounds","layer_1.input_window","layer_0.num_leaves","layer_1.min_data_in_leaf","layer_1.boosting_rounds","status","layer_1.learning_rate","layer_1.num_leaves","log","layer_0.bagging_fraction","layer_1.max_depth","layer_0.learning_rate","layer_0.input_window","error","layer_0.feature_fraction","trial"
"19.680113","0.15686345641969157","9.0","39.0","6.0","5.0","13.0","52.0","7.0","ok","0.18647286799174626","11.0","","0.7566578554140431","8.0","0.4605646234382452","0.0","","0.9997913064262504","0"
"26.725396","0.35838425706703214","13.0","37.0","6.0","4.0","31.0","68.0","6.0","ok","0.07710573782340668","13.0","","0.20763934307502474","12.0","0.08130899281603837","2.0","","0.5212430059506447","1"
"22.716274","0.1637709306647964","8.0","62.0","33.0","5.0","16.0","7.0","31.0","ok","0.27651525046731623","32.0","","0.7663096002838843","9.0","0.17603905762667885","0.0","","0.6328191766571207","2"
"68.494111","0.30607458481108174","13.0","64.0","13.0","5.0","34.0","89.0","28.0","ok","0.013914186456079974","6.0","","0.7654659223747186","11.0","0.2477860719967151","3.0","","0.8078605866549752","3"
"64.77334","0.42495938821563833","12.0","54.0","45.0","3.0","39.0","60.0","23.0","ok","0.034584183815861064","29.0","","0.6718810865250455","6.0","0.4866093872769684","2.0","","0.592651700844869","4"
"18.30614","0.1702824213468532","15.0","60.0","20.0","4.0","12.0","51.0","25.0","ok","0.06618943741312906","21.0","","0.3848401753220504","7.0","0.2085058617666058","0.0","","0.6672222125849678","5"
"26.975661","0.29695761353176264","15.0","40.0","12.0","3.0","21.0","82.0","9.0","ok","0.0484483391298444","12.0","","0.15542896502482867","10.0","0.2069361958411174","1.0","","0.6204663004967388","6"
"38.111241","0.46235603594957264","12.0","52.0","66.0","5.0","33.0","30.0","6.0","ok","0.013850740160849317","33.0","","0.4522326841400923","14.0","0.364071076439538","0.0","","0.6961976437151215","7"
"35.81392","0.3312552396265191","8.0","43.0","8.0","3.0","50.0","1.0","13.0","ok","0.013280212439786356","15.0","","0.5186908191907039","9.0","0.3878333581331842","2.0","","0.6132131180871878","8"
"34.936363","0.16879896134180125","8.0","76.0","17.0","4.0","7.0","72.0","13.0","ok","0.15910657582332705","17.0","","0.4351337284734229","15.0","0.16046577389782127","2.0","","0.6132086608614988","9"
"58.946197","0.15695176474393002","9.0","30.0","20.0","3.0","32.0","50.0","43.0","ok","0.03220716463641529","48.0","","0.5983211191122458","3.0","0.09297862668480167","2.0","","0.8147156181073527","10"
"67.960259","0.1435200871688591","12.0","52.0","17.0","4.0","32.0","57.0","38.0","ok","0.12032773040863973","46.0","","0.8285358065958413","7.0","0.42170971842896465","2.0","","0.5114065855648339","11"
"152.790121","0.48363850791969404","13.0","40.0","68.0","5.0","33.0","4.0","12.0","ok","0.011952482225511532","45.0","","0.7343632214819333","7.0","0.21675402502408234","2.0","","0.5116706559507704","12"
"180.211948","10","10.0","62.0","49.0","4.0","26.0","57.0","64.0","fail","0.020788292533547865","48.0","","0.3299876608594175","14.0","0.1255247768586622","3.0","Model was automatically killed.","0.8055663705694981","13"
"41.259197","0.14840038277592374","14.0","67.0","11.0","4.0","50.0","7.0","35.0","ok","0.048595845531660464","45.0","","0.20554216531698988","7.0","0.4575514722590922","1.0","","0.6399141844902281","14"
